,iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership
94,BRA,BRA0021,Brazil,,,,0.0,,,Operating,-22.920129,-45.413562,https://www.gsimec.com.mx/locations.php,Exact,4295884304,Grupo Simec SAB de CV,,,https://www.gsimec.com.mx/locations.php,2020-04-30,4295884304.0,Grupo Simec SAB de CV,,,,,
95,BRA,BRA0021,Brazil,,,,0.0,,,Operating,-20.348094,-40.360882,https://www.gsimec.com.mx/locations.php,Exact,4295884304,Grupo Simec SAB de CV,,,https://www.gsimec.com.mx/locations.php,2020-04-30,4295884304.0,Grupo Simec SAB de CV,,,,,
96,BRA,BRA0021,Brazil,,,,0.0,,,Operating,-20.067539,-44.590902,https://www.gsimec.com.mx/locations.php,Exact,4295884304,Grupo Simec SAB de CV,,,https://www.gsimec.com.mx/locations.php,2020-04-30,4295884304.0,Grupo Simec SAB de CV,,,,,
488,COL,COL0001,Colombia,,,,0.0,,,Operating,10.838475,-74.76085,https://www.ternium.com/en/contact-us#our-offices,Exact,5000267997,Ternium Internacional De Colombia SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
489,COL,COL0001,Colombia,,,,0.0,,,Operating,3.209787,-76.419882,https://www.ternium.com/en/contact-us#our-offices,Exact,5000267997,Ternium Internacional De Colombia SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
1012,JPN,JPN0009,Japan,,,,0.0,,,Operating,34.514946,133.745418,http://www.tokyosteel.co.jp/plants.html,Exact,4295878567,Tokyo Steel Manufacturing Co Ltd,,,http://www.tokyosteel.co.jp/plants.html,2020-04-30,4295878567.0,Tokyo Steel Manufacturing Co Ltd,,,,,
1013,JPN,JPN0009,Japan,,,,0.0,,,Operating,33.881233,130.760708,http://www.tokyosteel.co.jp/plants.html,Exact,4295878567,Tokyo Steel Manufacturing Co Ltd,,,http://www.tokyosteel.co.jp/plants.html,2020-04-30,4295878567.0,Tokyo Steel Manufacturing Co Ltd,,,,,
1014,JPN,JPN0010,Japan,,,,0.0,,,Operating,35.813725,139.883119,http://www.jfe-bs.co.jp/english/company/branch.php,Exact,4298183819,JFE Bars & Shapes Corp,,,http://www.jfe-bs.co.jp/english/company/branch.php,2020-04-08,4295877328.0,JFE Steel Corp,,,,,
1015,JPN,JPN0010,Japan,,,,0.0,,,Operating,34.50304,133.715327,http://www.jfe-bs.co.jp/english/company/branch.php,Exact,4298183819,JFE Bars & Shapes Corp,,,http://www.jfe-bs.co.jp/english/company/branch.php,2020-04-08,4295877328.0,JFE Steel Corp,,,,,
1016,JPN,JPN0010,Japan,,,,0.0,,,Operating,43.102005,141.277996,http://www.jfe-bs.co.jp/english/company/branch.php,Exact,4298183819,JFE Bars & Shapes Corp,,,http://www.jfe-bs.co.jp/english/company/branch.php,2020-04-08,4295877328.0,JFE Steel Corp,,,,,
1020,JPN,JPN0014,Japan,,,,0.0,,,Operating,34.739123,135.439072,https://www.nipponsteel.com/en/company/bases/,Exact,4295877313,Nippon Steel,,,https://www.nipponsteel.com/en/company/bases/,2020-04-08,4295877313.0,Nippon Steel Corp,,,,,
1021,JPN,JPN0014,Japan,,,,0.0,,,Operating,34.786822,134.62531,https://www.nipponsteel.com/en/company/bases/,Exact,4295877313,Nippon Steel,,,https://www.nipponsteel.com/en/company/bases/,2020-04-08,4295877313.0,Nippon Steel Corp,,,,,
1060,JPN,JPN0055,Japan,,,,0.0,,,Operating,35.359974,139.866335,https://www.daido.co.jp/en/about/corporate/facilities.html,Exact,4295877397,Daido Steel Co Ltd,,,https://www.daido.co.jp/en/about/corporate/facilities.html,2020-04-30,4295877397.0,Daido Steel Co Ltd,,,,,
1061,JPN,JPN0055,Japan,,,,0.0,,,Operating,35.773866,139.734389,https://www.daido.co.jp/en/about/corporate/facilities.html,Exact,4295877397,Daido Steel Co Ltd,,,https://www.daido.co.jp/en/about/corporate/facilities.html,2020-04-30,4295877397.0,Daido Steel Co Ltd,,,,,
1750,USA,USA0007,United States,,,,0.0,,,Operating,41.385513,-81.462276,https://www.gsimec.com.mx/locations.php,Exact,4298219370,Republic Steel,,,https://www.gsimec.com.mx/locations.php,2020-04-30,4295884304.0,Grupo Simec SAB de CV,,,,,
1751,USA,USA0007,United States,,,,0.0,,,Operating,41.449961,-82.130166,https://www.gsimec.com.mx/locations.php,Exact,4298219370,Republic Steel,,,https://www.gsimec.com.mx/locations.php,2020-04-30,4295884304.0,Grupo Simec SAB de CV,,,,,
